aspect,location,category,6/21/24,6/14/24,wow,yoy
imports ,p5,finished motor gasoline,20.0,16.0,4.0,18.0
imports ,us,reformulated,0.0,0.0,0.0,0.0
imports ,p1,reformulated,0.0,0.0,0.0,0.0
imports ,p2,reformulated,0.0,0.0,0.0,0.0
imports ,p3,reformulated,0.0,0.0,0.0,0.0
imports ,p4,reformulated,0.0,0.0,0.0,0.0
imports ,p5,reformulated,0.0,0.0,0.0,0.0
imports ,us,blended with fuel ethanol,0.0,0.0,0.0,0.0
imports ,p1,blended with fuel ethanol,0.0,0.0,0.0,0.0
imports ,p2,blended with fuel ethanol,0.0,0.0,0.0,0.0
imports ,p3,blended with fuel ethanol,0.0,0.0,0.0,0.0
imports ,p4,blended with fuel ethanol,0.0,0.0,0.0,0.0
imports ,p5,blended with fuel ethanol,0.0,0.0,0.0,0.0
imports ,us,other,0.0,0.0,0.0,0.0
imports ,p1,other,0.0,0.0,0.0,0.0
imports ,p2,other,0.0,0.0,0.0,0.0
imports ,p3,other,0.0,0.0,0.0,0.0
imports ,p4,other,0.0,0.0,0.0,0.0
imports ,p5,other,0.0,0.0,0.0,0.0
imports ,us,conventional,166.0,160.0,6.0,6.0
imports ,p1,conventional,146.0,142.0,4.0,-12.0
imports ,p2,conventional,0.0,0.0,0.0,0.0
imports ,p3,conventional,0.0,2.0,-2.0,0.0
imports ,p4,conventional,0.0,0.0,0.0,0.0
imports ,p5,conventional,20.0,16.0,4.0,18.0
imports ,us,ed55 and lower,0.0,0.0,0.0,0.0
imports ,p1,ed55 and lower,0.0,0.0,0.0,0.0
imports ,p2,ed55 and lower,0.0,0.0,0.0,0.0
imports ,p3,ed55 and lower,0.0,0.0,0.0,0.0
imports ,p4,ed55 and lower,0.0,0.0,0.0,0.0
imports ,p5,ed55 and lower,0.0,0.0,0.0,0.0
imports ,us,greater than ed55,0.0,0.0,0.0,0.0
imports ,p1,greater than ed55,0.0,0.0,0.0,0.0
imports ,p2,greater than ed55,0.0,0.0,0.0,0.0
imports ,p3,greater than ed55,0.0,0.0,0.0,0.0
imports ,p4,greater than ed55,0.0,0.0,0.0,0.0
imports ,p5,greater than ed55,0.0,0.0,0.0,0.0
imports ,us,motor gasoline blending components,595.0,840.0,-245.0,-102.0
imports ,p1,motor gasoline blending components,430.0,525.0,-95.0,-201.0
imports ,p2,motor gasoline blending components,3.0,1.0,2.0,-6.0
imports ,p3,motor gasoline blending components,27.0,51.0,-24.0,-24.0
imports ,p4,motor gasoline blending components,3.0,4.0,-1.0,-1.0
imports ,p5,motor gasoline blending components,131.0,259.0,-128.0,131.0
imports ,us,rbob,207.0,126.0,81.0,49.0
imports ,p1,rbob,207.0,126.0,81.0,49.0
imports ,p2,rbob,0.0,0.0,0.0,0.0
imports ,p3,rbob,0.0,0.0,0.0,0.0
imports ,p4,rbob,0.0,0.0,0.0,0.0
imports ,p5,rbob,0.0,0.0,0.0,0.0
imports ,us,cbob,25.0,110.0,-85.0,-33.0
imports ,p1,cbob,25.0,110.0,-85.0,-27.0
imports ,p2,cbob,0.0,0.0,0.0,-6.0
imports ,p3,cbob,0.0,0.0,0.0,0.0
imports ,p4,cbob,0.0,0.0,0.0,0.0
imports ,p5,cbob,0.0,0.0,0.0,0.0
imports ,us,gtab,103.0,124.0,-21.0,-73.0
imports ,p1,gtab,59.0,78.0,-19.0,-117.0
imports ,p2,gtab,0.0,0.0,0.0,0.0
imports ,p3,gtab,0.0,0.0,0.0,0.0
imports ,p4,gtab,0.0,0.0,0.0,0.0
imports ,p5,gtab,44.0,46.0,-2.0,44.0
imports ,us,all other blending components,260.0,480.0,-220.0,-44.0
imports ,p1,all other blending components,139.0,211.0,-72.0,-106.0
imports ,p2,all other blending components,3.0,1.0,2.0,0.0
imports ,p3,all other blending components,27.0,51.0,-24.0,-24.0
imports ,p4,all other blending components,3.0,4.0,-1.0,-1.0
imports ,p5,all other blending components,88.0,213.0,-125.0,88.0
imports ,us,fuel ethanol,0.0,0.0,0.0,0.0
imports ,p1,fuel ethanol,0.0,0.0,0.0,0.0
imports ,p2,fuel ethanol,0.0,0.0,0.0,0.0
imports ,p3,fuel ethanol,0.0,0.0,0.0,0.0
imports ,p4,fuel ethanol,0.0,0.0,0.0,0.0
imports ,p5,fuel ethanol,0.0,0.0,0.0,0.0
imports ,us,kerosene-type jet fuel,173.0,55.0,118.0,-61.0
imports ,p1,kerosene-type jet fuel,14.0,14.0,0.0,-56.0
imports ,p2,kerosene-type jet fuel,0.0,0.0,0.0,0.0
imports ,p3,kerosene-type jet fuel,0.0,0.0,0.0,0.0
imports ,p4,kerosene-type jet fuel,0.0,0.0,0.0,-1.0
imports ,p5,kerosene-type jet fuel,159.0,41.0,118.0,-4.0
imports ,us,distillate fuel oil,133.0,150.0,-17.0,14.0
imports ,p1,distillate fuel oil,73.0,131.0,-58.0,-23.0
imports ,p2,distillate fuel oil,21.0,6.0,15.0,15.0
imports ,p3,distillate fuel oil,4.0,0.0,4.0,4.0
imports ,p4,distillate fuel oil,7.0,10.0,-3.0,6.0
imports ,p5,distillate fuel oil,27.0,2.0,25.0,10.0
imports ,us,15 ppm sulfur and under,127.0,148.0,-21.0,8.0
imports ,p1,15 ppm sulfur and under,73.0,131.0,-58.0,-23.0
imports ,p2,15 ppm sulfur and under,20.0,4.0,16.0,14.0
imports ,p3,15 ppm sulfur and under,0.0,0.0,0.0,0.0
imports ,p4,15 ppm sulfur and under,7.0,10.0,-3.0,6.0
imports ,p5,15 ppm sulfur and under,27.0,2.0,25.0,10.0
imports ,us,> 15 ppm to 500 ppm sulfur,4.0,0.0,4.0,4.0
imports ,p1,> 15 ppm to 500 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p2,> 15 ppm to 500 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p3,> 15 ppm to 500 ppm sulfur,4.0,0.0,4.0,4.0
imports ,p4,> 15 ppm to 500 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p5,> 15 ppm to 500 ppm sulfur,0.0,0.0,0.0,0.0
imports ,us,> 500 ppm to 2000 ppm sulfur,1.0,2.0,-1.0,1.0
imports ,p1,> 500 ppm to 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p2,> 500 ppm to 2000 ppm sulfur,1.0,2.0,-1.0,1.0
imports ,p3,> 500 ppm to 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p4,> 500 ppm to 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p5,> 500 ppm to 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,us,> 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p1,> 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p2,> 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p3,> 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p4,> 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,p5,> 2000 ppm sulfur,0.0,0.0,0.0,0.0
imports ,us,residual fuel oil,87.0,152.0,-65.0,72.0
imports ,p1,residual fuel oil,1.0,86.0,-85.0,1.0
imports ,p2,residual fuel oil,2.0,1.0,1.0,2.0
imports ,p3,residual fuel oil,78.0,58.0,20.0,63.0
imports ,p4,residual fuel oil,0.0,0.0,0.0,0.0
imports ,p5,residual fuel oil,6.0,6.0,0.0,6.0
imports ,us,propane/propylene,75.0,77.0,-2.0,-2.0
imports ,p1,propane/propylene,25.0,25.0,0.0,5.0
imports ,p2,propane/propylene,20.0,22.0,-2.0,-1.0
imports ,p3,propane/propylene,0.0,0.0,0.0,0.0
imports ,p45,propane/propylene,29.0,30.0,-1.0,-7.0
imports ,us,other oils,730.0,763.0,-33.0,-312.0
imports ,p1,other oils,150.0,156.0,-6.0,-87.0
imports ,p2,other oils,38.0,49.0,-11.0,1.0
imports ,p3,other oils,439.0,470.0,-31.0,-169.0
imports ,p4,other oils,4.0,11.0,-7.0,2.0
imports ,p5,other oils,99.0,77.0,22.0,-60.0
imports ,us,kerosene,0.0,0.0,0.0,0.0
imports ,us,ngpls/lrgs (excluding propane/propylene),40.0,49.0,-9.0,-1.0
imports ,us,total product imports,1959.0,2198.0,-239.0,-385.0
imports ,p1,total product imports,839.0,1079.0,-240.0,-373.0
imports ,p2,total product imports,85.0,81.0,4.0,13.0
imports ,p3,total product imports,549.0,581.0,-32.0,-125.0
imports ,p4,total product imports,18.0,28.0,-10.0,1.0
imports ,p5,total product imports,468.0,429.0,39.0,99.0
imports ,us,total imports (incl spr),8570.0,9252.0,-682.0,-354.0
imports ,p1,total imports (incl spr),1297.0,1851.0,-554.0,-258.0
imports ,p2,total imports (incl spr),3074.0,2963.0,111.0,-33.0
imports ,p3,total imports (incl spr),1526.0,2239.0,-713.0,-578.0
imports ,p4,total imports (incl spr),392.0,422.0,-30.0,-122.0
imports ,p5,total imports (incl spr),2281.0,1778.0,503.0,637.0
exports ,us,total,10189.0,10979.0,-790.0,-1586.0
exports ,us,crude oil,3910.0,4418.0,-508.0,-1428.0
exports ,us,products,6279.0,6561.0,-282.0,-158.0
exports ,us,total motor gasoline,876.0,1010.0,-134.0,
exports ,us,fuel ethanol,72.0,76.0,-4.0,-32.0
exports ,us,kerosene-type jet fuel,147.0,247.0,-100.0,60.0
exports ,us,distillate fuel oil,1553.0,1180.0,373.0,57.0
exports ,us,residual fuel oil,180.0,99.0,81.0,84.0
exports ,us,propane/propylene,1454.0,1791.0,-337.0,-441.0
exports ,us,other oils,1997.0,2158.0,-161.0,105.0
net imports (incl spr) ,us,total,-1619.0,-1727.0,108.0,1232.0
net imports (incl spr) ,us,crude oil,2701.0,2636.0,65.0,1459.0
net imports (incl spr) ,us,products,-4320.0,-4363.0,43.0,-227.0
product supplied ,us,total product supplied,20689.0,21081.0,-392.0,383.0
product supplied ,us,finished motor gasoline,8969.0,9386.0,-417.0,-337.0
product supplied ,us,kerosene-type jet fuel,1683.0,1705.0,-22.0,-259.0
product supplied ,us,distillate fuel oil,3536.0,3977.0,-441.0,222.0
product supplied ,us,residual fuel oil,276.0,292.0,-16.0,157.0
product supplied ,us,propane/propylene,1027.0,712.0,315.0,694.0
product supplied ,us,other oils,5199.0,5009.0,190.0,-92.0
